City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,soria,41.6667,-2.6667,16.73,18,46,0.46,ES,1680715003
48,eatonton,33.3268,-83.3885,30.13,60,89,4.18,US,1680715319
49,new norfolk,-42.7826,147.0587,11.51,69,83,0.51,AU,1680715320
50,bluff,-46.6,168.3333,9.59,75,90,13.41,NZ,1680715320
51,khatanga,71.9667,102.5,-29.2,98,49,3.53,RU,1680715320
52,bredasdorp,-34.5322,20.0403,18.69,83,7,3.08,ZA,1680715320
53,pundaguitan,6.3711,126.1689,26.65,77,78,3.64,PH,1680715321
54,nikolskoye,59.7035,30.7861,3.94,99,100,2.29,RU,1680715321
55,banda aceh,5.5577,95.3222,25.84,76,90,2.08,ID,1680715321
56,ushuaia,-54.8,-68.3,14.79,62,75,4.12,AR,1680715382
57,puerto escondido,15.85,-97.0667,31.46,66,0,4.12,MX,1680715382
58,ansalta,42.6894,46.1178,12.26,66,91,1.95,RU,1680715383
59,bulgan,48.8125,103.5347,-6.11,66,92,1.59,MN,1680715383
60,avarua,-21.2078,-159.775,22.03,88,58,0.51,CK,1680715384
61,georgetown,5.4112,100.3354,24.97,94,20,2.57,MY,1680715384
62,bairiki,1.3292,172.9752,27.0,89,75,3.09,KI,1680715385
63,tautira,-17.7333,-149.15,27.32,77,54,3.06,PF,1680715385
64,grindavik,63.8424,-22.4338,6.26,75,75,6.17,IS,1680715385
65,aykhal,66.0,111.5,-19.2,100,84,4.71,RU,1680715386
66,atuona,-9.8,-139.0333,26.89,78,40,7.37,PF,1680715386
67,bengkulu,-3.8004,102.2655,24.28,88,100,1.89,ID,1680715387
68,san nicolas,18.1725,120.5953,25.06,79,9,1.87,PH,1680715387
69,saint-hyacinthe,45.6168,-72.9491,-0.42,94,100,6.32,CA,1680715388
70,fare,-16.7,-151.0167,27.55,73,95,2.76,PF,1680715389
71,la ronge,55.1001,-105.2842,-3.88,36,20,2.06,CA,1680715389
72,sitka,57.0531,-135.33,5.94,65,100,10.29,US,1680715390
73,mahebourg,-20.4081,57.7,25.16,88,20,1.54,MU,1680715390
74,ponta do sol,32.6667,-17.1,19.51,45,0,2.55,PT,1680715390
